DATE,GBPUSD
04/01/10,1.6109
05/01/10,1.6009
06/01/10,1.6016
07/01/10,1.5912
08/01/10,1.5993
11/01/10,1.6146
12/01/10,1.6181
13/01/10,1.6288
14/01/10,1.632
15/01/10,1.624
18/01/10,.
19/01/10,1.637
20/01/10,1.6287
21/01/10,1.6214
22/01/10,1.612
25/01/10,1.6236
26/01/10,1.6109
27/01/10,1.6204
28/01/10,1.6242
29/01/10,1.6009
01/02/10,1.5924
02/02/10,1.5968
03/02/10,1.5915
04/02/10,1.5763
05/02/10,1.5619
08/02/10,1.565
09/02/10,1.5679
10/02/10,1.5606
11/02/10,1.5674
12/02/10,1.5669
15/02/10,.
16/02/10,1.5732
17/02/10,1.5704
18/02/10,1.5582
19/02/10,1.5437
22/02/10,1.5477
23/02/10,1.5464
24/02/10,1.5432
25/02/10,1.5201
26/02/10,1.5239
01/03/10,1.4974
02/03/10,1.494
03/03/10,1.5124
04/03/10,1.5031
05/03/10,1.5115
08/03/10,1.506
09/03/10,1.5003
10/03/10,1.4977
11/03/10,1.5052
12/03/10,1.5188
15/03/10,1.5043
16/03/10,1.5192
17/03/10,1.5296
18/03/10,1.5247
19/03/10,1.5014
22/03/10,1.5071
23/03/10,1.5067
24/03/10,1.4914
25/03/10,1.4884
26/03/10,1.4906
29/03/10,1.4969
30/03/10,1.509
31/03/10,1.5186
01/04/10,1.529
02/04/10,1.5197
05/04/10,1.5284
06/04/10,1.523
07/04/10,1.5246
08/04/10,1.5272
09/04/10,1.5371
12/04/10,1.5368
13/04/10,1.5416
14/04/10,1.5484
15/04/10,1.5465
16/04/10,1.5395
19/04/10,1.5263
20/04/10,1.5375
21/04/10,1.5397
22/04/10,1.5368
23/04/10,1.5363
26/04/10,1.5466
27/04/10,1.5285
28/04/10,1.516
29/04/10,1.5303
30/04/10,1.5308
03/05/10,1.5242
04/05/10,1.5135
05/05/10,1.5134
06/05/10,1.4889
07/05/10,1.4739
10/05/10,1.498
11/05/10,1.4952
12/05/10,1.4855
13/05/10,1.4659
14/05/10,1.4557
17/05/10,1.4388
18/05/10,1.4439
19/05/10,1.4349
20/05/10,1.4344
21/05/10,1.4466
24/05/10,1.4437
25/05/10,1.4352
26/05/10,1.4401
27/05/10,1.4569
28/05/10,1.4492
31/05/10,.
01/06/10,1.4673
02/06/10,1.4641
03/06/10,1.4616
04/06/10,1.4493
07/06/10,1.4498
08/06/10,1.4422
09/06/10,1.4585
10/06/10,1.4674
11/06/10,1.4545
14/06/10,1.477
15/06/10,1.4827
16/06/10,1.4838
17/06/10,1.4806
18/06/10,1.4787
21/06/10,1.4826
22/06/10,1.485
23/06/10,1.4952
24/06/10,1.4986
25/06/10,1.4985
28/06/10,1.5098
29/06/10,1.5081
30/06/10,1.4947
01/07/10,1.5126
02/07/10,1.5179
05/07/10,.
06/07/10,1.518
07/07/10,1.5179
08/07/10,1.5157
09/07/10,1.5095
12/07/10,1.5016
13/07/10,1.5175
14/07/10,1.5284
15/07/10,1.5376
16/07/10,1.5289
19/07/10,1.5222
20/07/10,1.5255
21/07/10,1.5201
22/07/10,1.5283
23/07/10,1.5425
26/07/10,1.549
27/07/10,1.5538
28/07/10,1.5611
29/07/10,1.5591
30/07/10,1.5714
02/08/10,1.5897
03/08/10,1.5941
04/08/10,1.5887
05/08/10,1.586
06/08/10,1.5979
09/08/10,1.5945
10/08/10,1.5776
11/08/10,1.5688
12/08/10,1.5573
13/08/10,1.558
16/08/10,1.5679
17/08/10,1.5586
18/08/10,1.5619
19/08/10,1.5612
20/08/10,1.5515
23/08/10,1.5532
24/08/10,1.5471
25/08/10,1.546
26/08/10,1.5574
27/08/10,1.5528
30/08/10,1.5473
31/08/10,1.5358
01/09/10,1.5472
02/09/10,1.5393
03/09/10,1.5452
06/09/10,.
07/09/10,1.5315
08/09/10,1.5513
09/09/10,1.5448
10/09/10,1.5387
13/09/10,1.5466
14/09/10,1.5559
15/09/10,1.5641
16/09/10,1.5612
17/09/10,1.5635
20/09/10,1.5564
21/09/10,1.5551
22/09/10,1.5649
23/09/10,1.5723
24/09/10,1.5829
27/09/10,1.5851
28/09/10,1.5808
29/09/10,1.5812
30/09/10,1.5731
01/10/10,1.5829
04/10/10,1.5849
05/10/10,1.5915
06/10/10,1.5903
07/10/10,1.593
08/10/10,1.5951
11/10/10,.
12/10/10,1.5799
13/10/10,1.5843
14/10/10,1.5992
15/10/10,1.6027
18/10/10,1.5907
19/10/10,1.5739
20/10/10,1.5857
21/10/10,1.5753
22/10/10,1.5677
25/10/10,1.5748
26/10/10,1.5871
27/10/10,1.5782
28/10/10,1.5945
29/10/10,1.602
01/11/10,1.605
02/11/10,1.601
03/11/10,1.608
04/11/10,1.6282
05/11/10,1.6211
08/11/10,1.615
09/11/10,1.605
10/11/10,1.6071
11/11/10,.
12/11/10,1.6172
15/11/10,1.6064
16/11/10,1.5881
17/11/10,1.5941
18/11/10,1.601
19/11/10,1.5961
22/11/10,1.5932
23/11/10,1.5824
24/11/10,1.5774
25/11/10,.
26/11/10,1.5616
29/11/10,1.5557
30/11/10,1.5578
01/12/10,1.5603
02/12/10,1.561
03/12/10,1.5723
06/12/10,1.568
07/12/10,1.5802
08/12/10,1.5792
09/12/10,1.5733
10/12/10,1.5809
13/12/10,1.5882
14/12/10,1.5795
15/12/10,1.5613
16/12/10,1.5612
17/12/10,1.548
20/12/10,1.5521
21/12/10,1.5462
22/12/10,1.539
23/12/10,1.54
24/12/10,.
27/12/10,1.5382
28/12/10,1.5361
29/12/10,1.5463
30/12/10,1.5392
31/12/10,.
03/01/11,1.549
04/01/11,1.5586
05/01/11,1.5497
06/01/11,1.549
07/01/11,1.556
10/01/11,1.5583
11/01/11,1.5628
12/01/11,1.5716
13/01/11,1.587
14/01/11,1.5874
17/01/11,.
18/01/11,1.6
19/01/11,1.5991
20/01/11,1.5875
21/01/11,1.5997
24/01/11,1.5995
25/01/11,1.5818
26/01/11,1.5886
27/01/11,1.5905
28/01/11,1.5838
31/01/11,1.6042
01/02/11,1.6124
02/02/11,1.6167
03/02/11,1.6159
04/02/11,1.6089
07/02/11,1.6111
08/02/11,1.6091
09/02/11,1.6089
10/02/11,1.6132
11/02/11,1.5986
14/02/11,1.6023
15/02/11,1.6128
16/02/11,1.6063
17/02/11,1.6172
18/02/11,1.6245
21/02/11,.
22/02/11,1.6129
23/02/11,1.6221
24/02/11,1.6106
25/02/11,1.6078
28/02/11,1.6247
01/03/11,1.6309
02/03/11,1.6311
03/03/11,1.6266
04/03/11,1.625
07/03/11,1.6204
08/03/11,1.6164
09/03/11,1.6202
10/03/11,1.6063
11/03/11,1.6033
14/03/11,1.6181
15/03/11,1.6064
16/03/11,1.6028
17/03/11,1.6143
18/03/11,1.6187
21/03/11,1.6276
22/03/11,1.6387
23/03/11,1.6246
24/03/11,1.6159
25/03/11,1.6086
28/03/11,1.6024
29/03/11,1.5983
30/03/11,1.6038
31/03/11,1.6048
01/04/11,1.6132
04/04/11,1.6129
05/04/11,1.6282
06/04/11,1.6314
07/04/11,1.6304
08/04/11,1.6341
11/04/11,1.6386
12/04/11,1.6263
13/04/11,1.6285
14/04/11,1.635
15/04/11,1.6325
18/04/11,1.6229
19/04/11,1.6315
20/04/11,1.6405
21/04/11,1.6572
22/04/11,1.6517
25/04/11,1.6497
26/04/11,1.6465
27/04/11,1.653
28/04/11,1.6636
29/04/11,1.6691
02/05/11,1.669
03/05/11,1.6536
04/05/11,1.6524
05/05/11,1.6427
06/05/11,1.6417
09/05/11,1.6338
10/05/11,1.6331
11/05/11,1.6412
12/05/11,1.629
13/05/11,1.6179
16/05/11,1.624
17/05/11,1.6206
18/05/11,1.6148
19/05/11,1.6179
20/05/11,1.6222
23/05/11,1.6102
24/05/11,1.6185
25/05/11,1.6277
26/05/11,1.6346
27/05/11,1.6494
30/05/11,.
31/05/11,1.6439
01/06/11,1.6391
02/06/11,1.6325
03/06/11,1.6397
06/06/11,1.6362
07/06/11,1.6444
08/06/11,1.6381
09/06/11,1.6382
10/06/11,1.6254
13/06/11,1.6308
14/06/11,1.6388
15/06/11,1.6218
16/06/11,1.613
17/06/11,1.6186
20/06/11,1.6206
21/06/11,1.6232
22/06/11,1.6131
23/06/11,1.5977
24/06/11,1.5985
27/06/11,1.5972
28/06/11,1.6016
29/06/11,1.607
30/06/11,1.6067
01/07/11,1.607
04/07/11,.
05/07/11,1.6085
06/07/11,1.5998
07/07/11,1.5967
08/07/11,1.603
11/07/11,1.5932
12/07/11,1.594
13/07/11,1.6111
14/07/11,1.6125
15/07/11,1.6149
18/07/11,1.6024
19/07/11,1.6135
20/07/11,1.6139
21/07/11,1.6301
22/07/11,1.6319
25/07/11,1.6285
26/07/11,1.6392
27/07/11,1.6357
28/07/11,1.6338
29/07/11,1.6455
01/08/11,1.6278
02/08/11,1.6287
03/08/11,1.6406
04/08/11,1.6308
05/08/11,1.6362
08/08/11,1.6354
09/08/11,1.6194
10/08/11,1.6169
11/08/11,1.6228
12/08/11,1.6284
15/08/11,1.6387
16/08/11,1.6424
17/08/11,1.6591
18/08/11,1.6489
19/08/11,1.6544
22/08/11,1.6452
23/08/11,1.6509
24/08/11,1.6375
25/08/11,1.6289
26/08/11,1.6321
29/08/11,1.6398
30/08/11,1.6279
31/08/11,1.6269
01/09/11,1.6179
02/09/11,1.619
05/09/11,.
06/09/11,1.5954
07/09/11,1.5948
08/09/11,1.6021
09/09/11,1.587
12/09/11,1.5814
13/09/11,1.5805
14/09/11,1.5773
15/09/11,1.5808
16/09/11,1.5802
19/09/11,1.5674
20/09/11,1.5718
21/09/11,1.5619
22/09/11,1.5358
23/09/11,1.5475
26/09/11,1.5553
27/09/11,1.5681
28/09/11,1.5648
29/09/11,1.5685
30/09/11,1.5624
03/10/11,1.5474
04/10/11,1.5403
05/10/11,1.5436
06/10/11,1.5398
07/10/11,1.5628
10/10/11,.
11/10/11,1.5594
12/10/11,1.5757
13/10/11,1.5729
14/10/11,1.5808
17/10/11,1.5778
18/10/11,1.5654
19/10/11,1.5799
20/10/11,1.5726
21/10/11,1.5945
24/10/11,1.5986
25/10/11,1.5994
26/10/11,1.5905
27/10/11,1.6081
28/10/11,1.613
31/10/11,1.6141
01/11/11,1.5946
02/11/11,1.5974
03/11/11,1.5959
04/11/11,1.6026
07/11/11,1.6024
08/11/11,1.6076
09/11/11,1.5958
10/11/11,1.5935
11/11/11,.
14/11/11,1.5899
15/11/11,1.5818
16/11/11,1.577
17/11/11,1.5801
18/11/11,1.5783
21/11/11,1.5662
22/11/11,1.5646
23/11/11,1.5511
24/11/11,.
25/11/11,1.5467
28/11/11,1.5538
29/11/11,1.5625
30/11/11,1.5705
01/12/11,1.5698
02/12/11,1.5592
05/12/11,1.5689
06/12/11,1.558
07/12/11,1.5691
08/12/11,1.5635
09/12/11,1.5642
12/12/11,1.5597
13/12/11,1.5528
14/12/11,1.5445
15/12/11,1.5486
16/12/11,1.5514
19/12/11,1.5531
20/12/11,1.5674
21/12/11,1.568
22/12/11,1.5667
23/12/11,1.5615
26/12/11,.
